name,ring,quadrant,isNew,description,MoH_Used
Ansible,Employ,"Development, Test and Release Tools",TRUE,"<p>Ansible is an open-source software provisioning, configuration management, and application-deployment tool enabling infrastructure as code. IIT uses ansible to automate infrastructure and software installations.</P>",y
Artifactory,Employ,"Development, Test and Release Tools",FALSE,<p>Artifactory is a Binary Repository Manager product from Jfrog. IIT uses Artifactory in both mode 1 and mode 2 development models to track dependencies and library management.</p>,y
Orbus,Employ,"Development, Test and Release Tools",TRUE,<p>ER Studio is IIT's emerging replacement for Oracle Designer and Enterprise Architect for managing relational data models.</p>,y
Jenkins,Employ,"Development, Test and Release Tools",FALSE,"<p>Jenkins is a popular open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project. Jenkins is widely used in IIT for build and deployment automation, in both mode 1 and mode 2 development patterns.</p>",y
PostgreSQL,Employ,"Languages, Frameworks, and Platforms",TRUE,<p>PostgreSQL is an open source relational database management system and is endorsed as an IIT preferred technology. Emerging LOB systems should target PostgreSQL for relational database management.</p>,y
Kubernetes,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>Kubernetes (K8s) is an open-source system for automating deployment, scaling, and management of containerized applications. Managed Kubernetes services are available through all major public cloud providers. IIT and OCIO are assessing interopablity between on premise Openshift and public cloud Kubernetes.</p>",y
Openshift,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>The BC Gov OpenShift Container Platform Service is a multi-tenant container platform that government application development teams may use to develop and deploy modern, cloud native software applications. The service provides development teams with a set of isolated project spaces (namespaces) with associated resource quotas in which they can develop and deploy their applications and tools supporting their development lifecycle. Openshift is the defacto platform for IIT's DevOps initiatives. Migrating to Openshift 4 in fall 2020.</p>",y
Java,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Java is a class-based, object-oriented and general purpose programming language. Add IIT Context.</P>",y
Node.js,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Node.js is an open-source, cross-platform, JavaScript runtime environment (Framework) that executes JavaScript code outside a web browser. Node.js represents a ""JavaScript everywhere"" paradigm unifying web-application development around a single programming language, rather than different languages for server-side and client-side scripts. Need IIT context.>/p>",y
Python,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Python is a clear, general purpose and object-orientated programming language, comparable to Perl, Ruby or Java. Add IIT Context.</P>",y
Vue.js,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Vue.js is an open-source JavaScript framework for building user interfaces and single-page applications. IIT architecture does not promote a single javascipt framework over another and is as a local development project decision. Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>",y
Dell Object Store,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p> Object Storage Service is for Ministry Clients (Hosted within Government DataCentres) to store data as objects using standard protocols including S3, NFS, and HTTP </p>",y
MFA (MultiFactor Authentication),Employ,"Development, Test and Release Tools",TRUE,"<p> BC Government MFA through Microsoft for extra security logging into Government Microsoft 365 products (OneDrive, Teams, Word Online, Excel Online, etc). Commonly implemented via Microsoft Authenticator Phone Application. </p>",y
Camel,Employ,"Languages, Frameworks, and Platforms",FALSE,<p> Integration Boker for Health Business Services </p>,y
Combine,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>A long time ago we placed <a href=""/radar/languages-and-frameworks/reactivex"">ReactiveX</a> — a family of open-source frameworks for reactive programming — into the Adopt ring of the Radar. In 2017, we mentioned the addition of <a href=""https://github.com/ReactiveX/RxSwift"">RxSwift</a>, which brought reactive programming to iOS development using Swift. Since then, Apple has introduced its own take on reactive programming in the form of the <a href=""https://developer.apple.com/documentation/combine""><strong>Combine</strong></a> framework. Combine has become our default choice for apps that support iOS 13 as an acceptable deployment target. It's easier to learn than RxSwift and integrates really well with <a href=""/radar/languages-and-frameworks/swiftui"">SwiftUI</a>. If you're planning to convert an existing application from RxSwift to Combine or work with both in the same project, you might want to look at <a href=""https://github.com/CombineCommunity/RxCombine"">RxCombine</a>.</p>",y
Oracle Enterprise Manager,Employ,Common Services,FALSE,<p>Oracle Enterprise Manager (OEM) is a set of web-based tools aimed at managing software and hardware produced by Oracle Corporation as well as by some non-Oracle entities.</p>,y
Splunk,Employ,Common Services,FALSE,"<p>Splunk is software for searching, monitoring, and analyzing machine-generated data via a Web-style interface.</p>",y
Dataguard,Employ,Common Services,FALSE,,y
Sharepoint,Employ,Common Services,FALSE,,y
CMDBuild,Employ,"Development, Test and Release Tools",TRUE,"<p>CMDBuild is a Configuration Managment System - it can be used to track the status of individual IT infrastructure components (often called Configuration Items, or CIs) and their relationships</p>",y
Docker,Employ,"Development, Test and Release Tools",TRUE,<p>Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. </p>,y
Github Actions,Employ,"Development, Test and Release Tools",FALSE,"<p>GitHub Actions is a continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline</p>",y
JUnit,Employ,"Development, Test and Release Tools",TRUE,<p>JUnit is a unit testing framework for the Java programming language. </p>,y
pgAdmin,Employ,"Development, Test and Release Tools",FALSE,<p>User interface to manage Postegres databases</p>,y
Talend,Employ,"Development, Test and Release Tools",FALSE,"<p>Talend is an ETL tool for Data Integration. It provides software solutions for data preparation, data quality, data integration, application integration, data management and big data</p>",y
Toad,Employ,"Development, Test and Release Tools",FALSE,"<p>Toad is a database management toolset from Quest Software for managing relational and non-relational databases using SQL aimed at database developers, database administrators, and data analysts.</p>",y
AWS Elastic Beanstalk,Employ,Execution Environments,TRUE,"<p>AWS Elastic Beanstalk is an orchestration service offered by Amazon Web Services for deploying applications which orchestrates various AWS services, including EC2, S3, Simple Notification Service, CloudWatch, autoscaling, and Elastic Load Balancers.</p>",y
AWS RDS,Employ,Execution Environments,TRUE,"<p>Amazon Relational Database Service (RDS) is a collection of managed services that makes it simple to set up, operate, and scale databases in the cloud.</p>",y
Wildfly (JBoss),Employ,Execution Environments,FALSE,"<p>WildFly, formerly known as JBoss AS, or simply JBoss, is an application server authored by JBoss, now developed by Red Hat. WildFly is written in Java and implements the Java Platform, Enterprise Edition specification.</p>",y
MongoDB,Employ,Execution Environments,FALSE,<p>MongoDB is a source-available cross-platform document-oriented database program.</p>,y
Oracle Database,Employ,Execution Environments,FALSE,<p>Oracle database is a relational database management system (RDBMS) from the Oracle Corporation. Oracle has been widely used by MoH and continues to be a supported platform. The Oracle database is licensed by the number of cores on the hosting server.</p>,y
Weblogic,Employ,Execution Environments,FALSE,<p>Oracle WebLogic Server is a Java EE application server currently developed by Oracle Corporation.</p>,y
Angular,Employ,"Languages, Frameworks, and Platforms",TRUE,<p>Angular is a platform for building mobile and desktop web applications</p>,y
